title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers,total_reviews,positive_reviews,negative_reviews
PAC-MAN WORLD Re-PAC,1859470,2022-08-26,29.99,74,Very Positive,94,NOW PRODUCTION,Bandai Namco Entertainment,472,443,29
Soundfall,1608700,2022-05-11,29.99,66,Mostly Positive,77,Drastic Games,Noodlecake,459,371,88
As Dusk Falls,1341820,2022-07-19,29.99,77,Very Positive,90,INTERIOR/NIGHT,Xbox Game Studios,685,608,77
Digimon Survive,871980,2022-07-29,59.99,83,Very Positive,81,"HYDE, Inc.",Bandai Namco Entertainment Inc.,1367,1152,215
Trine 4: The Nightmare Prince,690640,2019-10-08,29.99,81,Very Positive,89,Frozenbyte,Frozenbyte,2502,2333,169
Dead Space,1693980,2023-01-27,59.99,87,Very Positive,91,Motive,Electronic Arts,17173,15751,1422
Shadows: Awakening,585450,2018-08-31,29.99,77,Mostly Positive,75,Games Farm,Kalypso Media,735,582,153
Horizon,236130,2014-02-06,29.99,58,Mixed,57,L3O Interactive,L3O Interactive,251,145,106
AMID EVIL,673130,2019-06-20,39.98,85,Very Positive,94,Indefatigable,New Blood Interactive,4643,4409,234
Leisure Suit Larry - Wet Dreams Dry Twice,1373430,2020-10-23,34.99,73,Very Positive,84,CrazyBunch,Assemble Entertainment,263,218,45
Sniper Elite VR,752480,2021-07-08,29.99,68,Mixed,57,"Just Add Water (Developments), Ltd.",Rebellion,361,202,159
Dragons Dogma: Dark Arisen,367500,2016-01-15,29.99,81,Very Positive,89,Capcom,Capcom,17315,15566,1749
"Warhammer 40,000: Gladius - Relics of War",489630,2018-07-12,39.99,71,Very Positive,81,Proxy Studios,Slitherine Ltd.,4066,3316,750
Obduction ,306760,2016-08-24,29.99,76,Mostly Positive,77,Cyan Inc.,Cyan Inc.,2178,1697,481
Frostpunk,323190,2018-04-24,29.99,84,Very Positive,92,11 bit studios,11 bit studios,29602,27378,2224
Fobia - St. Dinfna Hotel,1298140,2022-06-28,29.99,71,Very Positive,87,Pulsatrix Studios,Maximum Games,186,160,26
Tetris Effect: Connected,1003590,2020-11-10,39.99,93,Overwhelmingly Positive,95,Monstars Inc.,Enhance,3869,3683,186
Tom Clancys Ghost Recon Breakpoint,2231380,2019-10-04,59.99,58,Mostly Positive,70,Ubisoft Paris,Ubisoft,5449,3801,1648
INSOMNIA: The Ark,783170,2018-09-27,29.99,54,Mixed,62,Mono Studio,HeroCraft PC,281,158,123
Immortals of Aveum,2009100,2023-08-22,59.99,65,Mostly Positive,73,Ascendant Studios,Electronic Arts,549,419,130
Per Aspera,803050,2020-12-03,29.99,78,Mostly Positive,75,Tlön Industries,Raw Fury,2153,1653,500
Evil West,1065310,2022-11-22,49.99,73,Mostly Positive,74,Flying Wild Hog,Focus Entertainment,2521,1944,577
HITMAN 3,1659040,2021-01-20,69.99,87,Very Positive,85,IO Interactive A/S,IO Interactive A/S,9502,8165,1337
Aliens: Fireteam Elite,1549970,2021-08-24,29.99,69,Very Positive,81,Cold Iron Studios,Focus Entertainment,11445,9513,1932
Muv-Luv,802880,2016-07-14,29.99,76,Very Positive,94,aNCHOR Inc.,aNCHOR Inc.,446,416,30
TRACKMANIA TURBO,375900,2016-03-24,39.99,79,Mixed,66,Nadeo,Ubisoft,680,446,234
Jurassic World Evolution 2,1244460,2021-11-09,59.99,77,Very Positive,87,Frontier Developments,Frontier Developments,10488,9238,1250
A Plague Tale: Requiem,1182900,2022-10-17,49.99,82,Very Positive,91,Asobo Studio,Focus Entertainment,4141,3802,339
Humanity,1581480,2023-05-16,29.99,84,Very Positive,95,tha ltd.,Enhance,181,171,10
Horizon Zero Dawn Complete Edition,1151640,2020-08-07,49.99,84,Very Positive,87,Guerrilla,PlayStation PC LLC,43744,39262,4482
Gerda: A Flame in Winter,1771360,2022-09-01,39.98,84,Very Positive,97,PortaPlay,DON'T NOD,106,105,1
Edna and Harvey: Harvey's New Eyes,219910,2012-10-16,48.95,75,Very Positive,88,Daedalic Entertainment,Daedalic Entertainment,784,662,122
Endzone - A World Apart,933820,2021-03-18,29.99,72,Mostly Positive,77,Gentlymad Studios,WhisperGames,2872,2214,658
Panzer Corps 2,1072040,2020-03-19,39.99,86,Very Positive,84,Flashback Games,Slitherine Ltd.,1443,1197,246
Diablo IV,2344520,2023-06-06,69.99,86,Mixed,69,"Blizzard Entertainment, Inc."," Blizzard Entertainment, Inc.",2645,2028,617
After the Fall,751630,2021-12-09,29.99,76,Mostly Positive,77,Vertigo Games,Vertigo Games,1225,945,280
L.A. Noire: The VR Case Files,722230,2017-11-14,29.99,82,Mixed,57,Rockstar Games,Rockstar Games,608,345,263
Spirit of the North,1213700,2020-05-07,49.98,58,Very Positive,86,Infuse Studio,Merge Games,1447,1247,200
