title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers
Sam and Max: This Time Its Virtual!,1431290,2021-09-10,29.99,65,Mostly Negative,38,HappyGiant,Big Sugar
Zombie Army 4: Dead War,694280,2019-08-27,59.98,74,Very Positive,86,Rebellion,Rebellion
Strategic Mind: Spirit of Liberty,1474770,2023-08-28,29.99,70,Positive,84,Starni Games,Hyperstrange
Ghost on the Shore,1211930,2022-02-24,29.97,74,Very Positive,84,like Charlie,Application Systems Heidelberg
The Darkness II,67370,2012-02-06,29.99,77,Very Positive,90,Digital Extremes,2K
Total War: SHOGUN 2,201270,2011-03-15,29.99,90,Very Positive,91,CREATIVE ASSEMBLY,Feral Interactive (Linux)
Ultra Street Fighter IV,45760,2014-08-07,29.99,82,Very Positive,91,Capcom,Capcom
Wasteland 2: Director's Cut,240760,2015-10-13,29.99,87,Very Positive,82,inXile Entertainment,inXile Entertainment
Call of Duty: Black Ops,42700,2010-11-09,39.99,81,Very Positive,91,Treyarch,Aspyr (Mac)
Universe Sandbox,72200,2011-04-29,29.99,83,Overwhelmingly Positive,96,Giant Army,Giant Army
"Warhammer 40,000: Dawn of War II: Retribution",56437,2011-02-28,29.99,80,Very Positive,89,Relic Entertainment,Feral Interactive (Mac/Linux)
Singularity,42670,2010-06-29,29.99,76,Very Positive,92,Jingjing Shen,Screen South
Silent Hill Homecoming,19000,2008-11-06,39.99,64,Mixed,48,Double Helix Games,KONAMI
Sins of a Solar Empire - Rebellion,204880,2012-06-12,39.99,82,Very Positive,93,Ironclad Games,Stardock Entertainment
Prototype 2,115320,2012-07-24,39.99,76,Mostly Positive,73,Radical Entertainment,Activision
Call of Duty: Black Ops II,202970,2012-11-12,59.99,74,Very Positive,86,Treyarch,Activision
Spec Ops: The Line,50300,2012-06-25,29.99,76,Very Positive,93,YAGER,Missing Link Games
Carrier Command: Gaea Mission,65740,2012-09-28,32.99,60,Mixed,51,Bohemia Interactive,Bohemia Interactive
XCOM: Enemy Unknown,200510,2012-10-08,29.99,89,Very Positive,94,Firaxis Games,Feral Interactive (Linux)
Might and Magic Heroes VI,48220,2011-10-13,29.99,77,Mixed,46,Blackhole,Ubisoft
BioShock Infinite,8870,2013-03-25,29.99,94,Very Positive,93,Irrational Games,2K
DMC - Devil May Cry,220440,2013-01-24,29.99,85,Very Positive,93,Ninja Theory,Capcom
Arma 3,107410,2013-09-12,29.99,74,Very Positive,91,Bohemia Interactive,Bohemia Interactive
Prison Architect,233450,2015-10-06,29.99,83,Very Positive,90,Double Eleven,Paradox Interactive
Kenshi,233860,2011-11-21,29.99,75,Overwhelmingly Positive,95,Lo-Fi Games,Lo-Fi Games
Remember Me,228300,2013-06-03,29.99,65,Very Positive,83,DONTNOD Entertainment,Capcom
War For The Overworld,230190,2015-04-02,29.99,65,Very Positive,86,Brightrock Games,Brightrock Games
Call of Duty: Ghosts,209160,2013-11-04,59.99,68,Mixed,60,Infinity Ward,Activision
Europa Universalis IV,236850,2013-08-13,39.99,87,Very Positive,86,Paradox Development Studio,Paradox Interactive
Divinity: Dragon Commander,243950,2013-08-06,39.99,76,Mostly Positive,72,Larian Studios,Larian Studios
Castlevania: Lords of Shadow  Ultimate Edition,234080,2013-08-27,29.99,81,Very Positive,80,MercurySteam,KONAMI
X Rebirth,2870,2013-11-15,29.99,33,Mixed,41,Egosoft,Egosoft
Shadow Warrior,233130,2013-09-26,29.99,73,Very Positive,92,Flying Wild Hog,Devolver Digital
Assassin's Creed IV Black Flag,242050,2013-11-19,39.99,84,Very Positive,88,Ubisoft Montreal,Ubisoft
Rust,252490,2018-02-08,39.99,69,Very Positive,87,Facepunch Studios,Facepunch Studios
METAL GEAR RISING: REVENGEANCE,235460,2014-01-09,29.99,83,Overwhelmingly Positive,95,PlatinumGames,KONAMI
Men of War: Assault Squad 2,244450,2014-03-20,29.99,68,Very Positive,91,Digitalmindsoft,Fulqrum Publishing
South Park: The Stick of Truth,213670,2014-03-04,29.99,85,Overwhelmingly Positive,97,Obsidian Entertainment,Ubisoft
Castlevania: Lords of Shadow 2,239250,2014-02-25,39.99,58,Very Positive,83,MercurySteam,KONAMI
Dark Souls II,236430,2014-04-25,39.99,91,Very Positive,88,"FromSoftware, Inc","FromSoftware, Inc"
YAIBA: NINJA GAIDEN Z,252230,2014-03-21,29.99,49,Mixed,65,Spark Unlimited,"KOEI TECMO GAMES CO., LTD."
Wargame: Red Dragon,251060,2014-04-17,29.99,78,Very Positive,88,Eugen Systems,Eugen Systems
Galactic Civilizations III,226860,2015-05-14,39.99,81,Mostly Positive,76,Stardock Entertainment,Stardock Entertainment
Age of Mythology: Extended Edition,266840,2014-05-08,29.99,66,Very Positive,92,SkyBox Labs,Xbox Game Studios
Watch_Dogs,243470,2014-05-26,29.99,77,Mostly Positive,75,Ubisoft,Ubisoft
The Golf Club,269730,2014-08-19,29.99,70,Mixed,63,HB Studios,HB Studios
Pandora : First Contact,287580,2013-11-14,29.99,68,Mixed,61,Proxy Studios,Slitherine Ltd.
Distant Worlds: Universe,261470,2014-05-23,29.99,81,Mostly Positive,72,Code Force,Slitherine Ltd.
Sherlock Holmes: Crimes and Punishments,241260,2014-09-29,29.99,77,Very Positive,90,Frogwares,Frogwares
Shadows: Heretic Kingdoms,256030,2014-11-14,29.99,74,Mixed,58,Games Farm,Kalypso Media Digital
Dead Rising 3: Apocalypse Edition,265550,2014-09-05,29.99,70,Mostly Positive,75,Capcom Game Studio Vancouver,Capcom
Alien: Isolation,214490,2014-10-06,39.99,81,Very Positive,92,Creative Assembly,Feral Interactive (Linux)
Far Cry 4,298110,2014-11-17,29.99,80,Very Positive,83,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",Ubisoft
Assassin's Creed Unity,289650,2014-11-11,29.99,70,Mostly Positive,77,Ubisoft,Ubisoft
NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,272510,2014-09-15,29.99,61,Very Positive,84,"CyberConnect2 Co., Ltd.",BANDAI NAMCO Entertainment
The Crew,241560,2014-12-01,29.99,71,Mixed,69,Ivory Tower,Ubisoft
Sid Meier's Civilization: Beyond Earth,65980,2014-10-23,39.99,81,Mixed,59,Firaxis Games,Aspyr (Linux)
Borderlands: The Pre-Sequel,261640,2014-10-13,39.99,75,Very Positive,83,2K Australia,Aspyr (Linux)
To End All Wars,312360,2014-08-29,39.99,71,Mixed,60,Ageod,Slitherine Ltd.
Battle Academy 2: Eastern Front,306640,2014-09-12,39.99,77,Very Positive,93,Slitherine Ltd.,Slitherine Ltd.
Buzz Aldrin's Space Program Manager,308270,2014-10-31,29.99,62,Mostly Positive,75,Polar Motion,Slitherine Ltd.
The Talos Principle,257510,2014-12-11,29.99,85,Overwhelmingly Positive,95,Croteam,Croteam
Pillars of Eternity,291650,2015-03-26,29.99,89,Very Positive,87,Obsidian Entertainment,Xbox Game Studios
Total War: Attila,325610,2015-02-17,44.99,80,Very Positive,81,CREATIVE ASSEMBLY,SEGA
"Warhammer 40,000: Armageddon",312370,2014-11-26,39.99,68,Very Positive,80,Flashback Games,Slitherine Ltd.
Satellite Reign,268870,2015-08-27,29.99,75,Mostly Positive,75,5 Lives Studios,5 Lives Studios
Subnautica,264710,2018-01-23,29.99,87,Overwhelmingly Positive,96,Unknown Worlds Entertainment,Unknown Worlds Entertainment
Zombie Army Trilogy,301640,2015-03-06,44.99,72,Very Positive,87,Rebellion,Rebellion
Grey Goo,290790,2015-01-23,29.99,77,Mixed,69,Petroglyph,Grey Box
Homeworld Remastered Collection,244160,2015-02-25,34.99,86,Very Positive,88,Gearbox Software,Aspyr (Mac)
Cities: Skylines,255710,2015-03-10,29.99,85,Very Positive,93,Colossal Order Ltd.,Paradox Interactive
Steel Armor: Blaze of War,286280,2015-03-05,29.99,70,Very Positive,83,Graviteam,Graviteam
DARK SOULS II: Scholar of the First Sin,335300,2015-04-01,39.99,79,Very Positive,85,"FromSoftware, Inc","FromSoftware, Inc"
Killing Floor 2,232090,2016-11-18,29.99,75,Very Positive,89,Tripwire Interactive,Tripwire Interactive
Battle Brothers,365360,2015-04-27,29.99,80,Very Positive,88,Overhype Studios,Overhype Studios
Might and Magic: Heroes VII,321960,2015-09-29,29.99,67,Mixed,54,Limbic Entertainment,Ubisoft
RACE - The WTCC Game,4230,2006-11-24,39.99,81,Mostly Positive,79,SimBin,SimBin
Assassins Creed Syndicate,368500,2015-11-18,29.99,74,Very Positive,80,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",Ubisoft
LEGO Worlds,332310,2017-03-07,29.99,71,Mostly Positive,77,TT Games,Warner Bros. Interactive Entertainment
Anno 2205,375910,2015-11-02,39.99,72,Mixed,69,Blue Byte,Ubisoft
FINAL FANTASY TYPE-0 HD,340170,2015-08-18,29.99,69,Mixed,60,Square Enix,Square Enix
Time Machine VR,356180,2016-05-19,29.99,58,Mixed,63,Minority Media Inc.,Minority Media Inc.
Deus Ex: Mankind Divided,337000,2016-08-23,29.99,83,Mostly Positive,76,Eidos Montreal,Feral Interactive (Mac)
NOBUNAGA'S AMBITION: Sphere of Influence,392470,2014-08-27,59.99,70,Very Positive,83,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
XCOM 2,268500,2016-02-04,59.99,88,Very Positive,84,Firaxis Games,Feral Interactive (Linux)
Heroes of Normandie,365890,2015-10-01,29.99,65,Mostly Positive,70,Cat Rabbit,Slitherine Ltd.
Sonic Lost World,329440,2015-11-02,29.99,57,Mixed,65,Sonic Team,SEGA
Total War: WARHAMMER,364360,2016-05-24,59.99,86,Mostly Positive,78,CREATIVE ASSEMBLY,Feral Interactive (Mac)
Divinity: Original Sin - Enhanced Edition,373420,2015-10-27,39.99,94,Very Positive,89,Larian Studios,Larian Studios
Tom Clancys The Division,365590,2016-03-07,29.99,79,Mostly Positive,71,Ubisoft,Ubisoft
